order_id,item_id,quantity,price
O00038,M0154,1,7.39
O00038,M0333,2,22.46
O00039,M0091,3,32.5
O00039,M0144,3,9.22
O00040,M0063,1,9.0
O00040,M0086,1,15.24
O00041,M0130,3,35.6
O00041,M0395,1,15.74
O00041,M0248,3,35.69
O00042,M0080,1,26.57
O00042,M0197,1,7.93
O00042,M0362,1,30.83
O00043,M0131,1,14.59
O00043,M0050,2,18.44
O00043,M0154,1,7.39
O00044,M0120,1,36.3
O00045,M0071,1,35.62
O00045,M0132,3,17.62
O00045,M0076,3,12.35
O00045,M0264,3,38.28
O00046,M0327,3,19.93
O00046,M0259,3,32.86
O00046,M0370,1,22.17
O00047,M0024,1,8.99
O00047,M0254,2,30.89
O00047,M0093,2,35.35
O00048,M0121,3,6.69
O00048,M0115,3,12.41
O00049,M0014,1,18.85
O00049,M0367,1,34.28
O00049,M0192,3,27.0
O00050,M0386,3,9.78
O00050,M0229,2,8.6
O00051,M0147,3,18.41
O00051,M0085,1,16.33
O00051,M0072,1,20.74
O00051,M0109,1,30.65
O00052,M0163,1,25.64
O00052,M0107,2,16.46
O00052,M0025,1,35.19
O00052,M0032,2,33.02
O00053,M0046,2,34.47
O00053,M0217,2,18.02
O00053,M0382,2,35.12
O00053,M0015,1,26.49
O00054,M0055,1,7.89
O00054,M0079,1,27.15
O00055,M0273,3,36.41
O00055,M0333,2,22.46
O00055,M0339,3,39.79
O00056,M0258,1,36.52
O00057,M0318,1,11.92
O00057,M0237,1,6.24
O00057,M0360,2,11.08
O00057,M0255,1,21.24
O00058,M0356,3,6.96
O00058,M0231,1,12.99
O00059,M0330,1,35.92
O00059,M0304,1,39.67
O00059,M0261,2,5.84
O00059,M0023,2,16.41
O00060,M0192,1,27.0
O00061,M0052,2,19.32
O00061,M0274,2,19.46
O00061,M0303,1,15.46
O00061,M0312,1,9.58
O00062,M0034,3,28.52
O00062,M0350,2,23.53
O00062,M0286,3,13.18
O00063,M0188,2,7.36
O00063,M0144,2,9.22
O00064,M0032,2,33.02
O00064,M0307,1,24.25
O00064,M0127,3,12.08
O00065,M0079,1,27.15
O00065,M0152,1,35.61
O00065,M0027,1,25.89
O00065,M0366,3,9.97
O00066,M0388,3,32.71
O00067,M0284,3,34.12
O00067,M0334,1,24.27
O00067,M0268,3,23.54
O00068,M0382,2,35.12
O00068,M0164,2,17.3
O00069,M0107,3,16.46
O00070,M0395,2,15.74
O00070,M0343,3,21.96
O00071,M0299,3,34.98
O00071,M0086,2,15.24
O00071,M0199,2,39.1
O00072,M0239,3,27.95
O00072,M0183,2,18.54
O00072,M0136,1,30.41
O00073,M0371,1,6.97
O00073,M0201,2,25.53
O00073,M0339,3,39.79
O00074,M0347,1,12.67
O00074,M0214,2,38.36
O00074,M0126,2,39.71
O00075,M0013,3,27.42
O00075,M0214,2,38.36
O00076,M0116,3,16.3
O00077,M0303,3,15.46
O00077,M0366,2,9.97
O00077,M0052,2,19.32
O00077,M0252,3,17.91
O00078,M0257,2,32.16
O00078,M0331,2,26.49
O00079,M0189,3,12.55
O00079,M0176,2,32.43
O00080,M0150,3,15.47
O00080,M0244,1,22.57
O00080,M0299,1,34.98
O00081,M0228,2,10.51
O00081,M0136,1,30.41
O00081,M0069,2,30.76
O00081,M0181,1,39.22
O00082,M0146,3,21.72
O00082,M0360,1,11.08
O00083,M0337,1,27.49
O00083,M0062,2,22.88
O00083,M0291,2,9.23
O00084,M0326,2,6.03
O00085,M0136,3,30.41
O00085,M0079,1,27.15
O00086,M0252,2,17.91
O00086,M0161,2,8.03
O00086,M0256,1,39.02
O00086,M0170,2,37.94
O00087,M0044,3,10.84
O00088,M0351,1,25.44
O00088,M0364,2,29.62
O00088,M0149,3,15.97
O00089,M0168,1,26.03
O00089,M0257,3,32.16
O00090,M0088,1,23.0
O00090,M0205,1,38.37
O00091,M0304,2,39.67
O00091,M0302,3,22.97
O00091,M0240,2,16.26
O00091,M0014,1,18.85
O00092,M0378,1,16.33
O00093,M0240,3,16.26
O00094,M0060,1,24.8
O00095,M0136,1,30.41
O00095,M0345,3,18.59
O00096,M0004,3,29.88
O00097,M0098,3,18.74
O00098,M0252,2,17.91
O00099,M0277,1,22.69
O00099,M0339,3,39.79
O00099,M0328,2,12.52
O00099,M0195,2,27.42
O00100,M0294,2,14.28
O00100,M0022,3,23.79
O00101,M0246,1,33.15
O00102,M0336,2,9.8
O00102,M0201,1,25.53
O00102,M0229,2,8.6
O00103,M0176,2,32.43
O00104,M0262,1,17.12
O00104,M0328,1,12.52
O00104,M0168,2,26.03
O00104,M0108,2,35.41
O00105,M0205,1,38.37
O00105,M0189,3,12.55
O00105,M0231,2,12.99
O00106,M0185,2,24.12
O00106,M0121,1,6.69
O00106,M0359,3,34.37
O00106,M0113,2,23.7
O00107,M0150,2,15.47
O00107,M0319,1,20.52
O00107,M0398,3,38.2
O00107,M0135,1,18.87
O00108,M0360,1,11.08
O00108,M0148,3,33.21
O00108,M0198,1,22.9
O00109,M0042,1,37.17
O00109,M0360,1,11.08
O00109,M0261,2,5.84
O00110,M0028,3,18.74
O00110,M0281,2,13.29
O00110,M0341,2,32.37
O00110,M0203,2,27.51
O00111,M0108,1,35.41
O00111,M0029,1,17.18
O00111,M0345,1,18.59
O00111,M0137,2,13.2
O00112,M0065,2,23.97
O00113,M0041,2,27.24
O00113,M0197,2,7.93
O00113,M0096,2,16.27
O00114,M0034,3,28.52
O00114,M0359,2,34.37
O00114,M0252,3,17.91
O00115,M0377,3,33.08
O00115,M0285,1,16.13
O00116,M0188,2,7.36
O00116,M0023,3,16.41
O00116,M0367,3,34.28
O00116,M0137,1,13.2
O00117,M0234,2,6.61
O00117,M0081,2,12.23
O00117,M0397,2,30.51
O00117,M0363,3,36.99
O00118,M0005,2,34.72
O00118,M0127,1,12.08
O00118,M0312,3,9.58
O00119,M0066,1,6.46
O00119,M0260,3,5.22
O00119,M0059,3,10.89
O00119,M0106,3,20.91
O00120,M0286,1,13.18
O00120,M0365,1,38.16
O00120,M0066,3,6.46
O00121,M0196,2,26.56
O00122,M0189,2,12.55
O00122,M0289,3,8.7
O00123,M0275,3,18.04
O00123,M0385,3,16.78
O00123,M0149,1,15.97
O00123,M0174,3,11.6
O00124,M0195,3,27.42
O00125,M0022,1,23.79
O00125,M0268,3,23.54
O00126,M0211,2,11.15
O00126,M0276,2,7.97
O00127,M0218,1,32.34
O00128,M0032,3,33.02
O00128,M0048,1,38.31
O00129,M0335,2,8.07
O00130,M0173,1,23.12
O00130,M0272,1,6.54
O00130,M0367,1,34.28
O00131,M0264,2,38.28
O00131,M0225,2,20.93
O00132,M0101,2,20.82
O00133,M0278,2,33.7
O00133,M0356,3,6.96
O00134,M0269,3,19.69
O00134,M0277,3,22.69
O00135,M0102,3,32.81
O00136,M0343,2,21.96
O00137,M0274,3,19.46
O00137,M0015,1,26.49
O00138,M0300,3,8.19
O00138,M0255,1,21.24
O00138,M0169,2,26.27
O00139,M0250,1,15.87
O00139,M0159,3,19.41
O00139,M0287,1,9.76
O00139,M0017,2,18.61
O00140,M0265,3,31.56
O00140,M0124,3,37.53
O00140,M0261,3,5.84
O00140,M0293,3,20.82
O00141,M0126,3,39.71
O00141,M0376,1,30.09
O00141,M0040,3,19.81
O00141,M0306,1,20.83
O00142,M0321,2,34.03
O00142,M0289,2,8.7
O00143,M0377,3,33.08
O00143,M0141,3,12.92
O00143,M0097,1,31.65
O00143,M0114,1,38.88
O00144,M0140,1,7.73
O00144,M0133,1,18.01
O00145,M0163,2,25.64
O00145,M0001,2,20.34
O00145,M0316,1,14.06
O00146,M0334,3,24.27
O00146,M0174,1,11.6
O00147,M0191,3,18.93
O00147,M0112,2,34.75
O00147,M0390,1,29.75
O00148,M0385,1,16.78
O00149,M0394,2,33.51
O00149,M0171,3,34.68
O00149,M0150,1,15.47
O00150,M0035,2,9.13
O00150,M0276,3,7.97
O00151,M0379,2,10.17
O00151,M0096,3,16.27
O00151,M0048,2,38.31
O00152,M0358,1,18.59
O00152,M0252,3,17.91
O00153,M0262,2,17.12
O00153,M0356,2,6.96
O00153,M0181,1,39.22
O00153,M0244,2,22.57
O00154,M0289,3,8.7
O00154,M0299,2,34.98
O00154,M0341,2,32.37
O00154,M0196,1,26.56
O00155,M0167,1,7.95
O00155,M0223,1,14.2
O00155,M0358,3,18.59
O00155,M0345,1,18.59
O00156,M0093,3,35.35
O00156,M0155,2,5.3
O00156,M0385,3,16.78
O00157,M0341,2,32.37
O00157,M0260,2,5.22
O00157,M0054,3,20.53
O00158,M0078,2,35.14
O00158,M0001,3,20.34
O00159,M0364,2,29.62
O00159,M0116,2,16.3
O00159,M0107,1,16.46
O00159,M0031,2,33.48
O00160,M0292,1,38.76
O00160,M0061,2,31.81
O00160,M0006,1,8.83
O00161,M0254,2,30.89
O00161,M0308,2,21.17
O00161,M0198,2,22.9
O00161,M0027,2,25.89
O00162,M0389,3,27.72
O00162,M0248,2,35.69
O00162,M0180,3,7.49
O00163,M0283,2,33.03
O00163,M0343,2,21.96
O00163,M0114,3,38.88
O00164,M0185,2,24.12
O00165,M0398,3,38.2
O00165,M0262,1,17.12
O00166,M0055,2,7.89
O00166,M0133,2,18.01
O00166,M0117,2,16.82
O00167,M0220,1,32.0
O00167,M0144,2,9.22
O00167,M0370,2,22.17
O00168,M0170,1,37.94
O00168,M0187,2,7.55
O00169,M0059,2,10.89
O00170,M0389,1,27.72
O00170,M0191,3,18.93
O00170,M0082,3,33.19
O00170,M0293,2,20.82
O00171,M0027,2,25.89
O00171,M0149,3,15.97
O00171,M0051,3,22.69
O00171,M0313,3,19.02
O00172,M0374,3,37.13
O00172,M0076,1,12.35
O00173,M0288,3,25.46
O00174,M0272,2,6.54
O00174,M0291,2,9.23
O00174,M0377,2,33.08
O00175,M0168,1,26.03
O00176,M0186,2,31.7
O00176,M0030,1,21.03
O00176,M0096,1,16.27
O00177,M0391,1,29.27
O00177,M0194,3,29.56
O00177,M0325,1,30.36
O00177,M0027,3,25.89
O00178,M0095,1,13.74
O00178,M0283,2,33.03
O00179,M0213,1,5.4
O00180,M0157,1,30.29
O00180,M0137,2,13.2
O00181,M0049,3,9.78
O00181,M0269,1,19.69
O00182,M0370,2,22.17
O00182,M0153,2,39.75
O00182,M0129,3,27.75
O00183,M0283,2,33.03
O00183,M0382,2,35.12
O00184,M0261,2,5.84
O00184,M0161,2,8.03
O00184,M0054,1,20.53
O00184,M0068,2,39.64
O00185,M0161,1,8.03
O00186,M0331,1,26.49
O00186,M0085,1,16.33
O00187,M0022,3,23.79
O00188,M0216,3,30.23
O00189,M0301,1,38.89
O00189,M0370,1,22.17
O00189,M0227,2,24.84
O00190,M0103,1,8.26
O00191,M0243,3,25.0
O00191,M0303,3,15.46
O00191,M0237,3,6.24
O00191,M0337,1,27.49
O00192,M0141,1,12.92
O00193,M0373,1,21.73
O00193,M0177,2,38.41
O00193,M0136,1,30.41
O00193,M0390,2,29.75
O00194,M0008,1,13.54
O00194,M0115,2,12.41
O00194,M0055,1,7.89
O00194,M0048,3,38.31
O00195,M0032,3,33.02
O00195,M0094,3,29.55
O00195,M0089,3,28.78
O00196,M0379,1,10.17
O00197,M0099,2,25.21
O00197,M0002,1,20.84
O00198,M0061,3,31.81
O00198,M0113,1,23.7
O00199,M0240,3,16.26
O00199,M0005,2,34.72
O00199,M0395,3,15.74
O00200,M0277,3,22.69
O00200,M0290,1,21.31
O00200,M0340,1,32.82
O00201,M0277,1,22.69
O00201,M0217,2,18.02
O00201,M0124,1,37.53
O00201,M0031,1,33.48
O00202,M0013,2,27.42
O00202,M0287,2,9.76
O00202,M0303,1,15.46
O00203,M0053,2,19.55
O00203,M0197,3,7.93
O00203,M0346,3,5.91
O00204,M0300,1,8.19
O00205,M0368,1,35.86
O00205,M0166,3,13.67
O00205,M0361,3,25.74
O00206,M0356,3,6.96
O00206,M0394,2,33.51
O00206,M0198,3,22.9
O00207,M0267,1,15.76
O00207,M0379,3,10.17
O00207,M0021,3,8.56
O00208,M0307,3,24.25
O00208,M0220,3,32.0
O00209,M0014,1,18.85
O00209,M0304,3,39.67
O00210,M0134,2,27.71
O00210,M0203,2,27.51
O00211,M0167,3,7.95
O00211,M0196,1,26.56
O00211,M0086,3,15.24
O00212,M0134,2,27.71
O00213,M0341,3,32.37
O00213,M0274,3,19.46
O00213,M0251,1,24.36
O00214,M0210,2,30.96
O00214,M0314,2,27.06
O00214,M0141,1,12.92
O00214,M0095,1,13.74
O00215,M0338,3,23.4
O00215,M0361,2,25.74
O00215,M0034,3,28.52
O00216,M0069,1,30.76
O00216,M0315,2,7.94
O00217,M0370,3,22.17
O00218,M0232,1,5.09
O00219,M0008,2,13.54
O00219,M0340,2,32.82
O00219,M0178,3,18.51
O00220,M0115,1,12.41
O00220,M0375,3,33.23
O00221,M0007,2,10.75
O00221,M0267,3,15.76
O00222,M0194,3,29.56
O00222,M0082,1,33.19
O00222,M0246,2,33.15
O00222,M0332,1,13.6
O00223,M0375,2,33.23
O00223,M0303,2,15.46
O00224,M0334,2,24.27
O00225,M0398,1,38.2
O00226,M0300,3,8.19
O00226,M0020,1,32.86
O00227,M0231,2,12.99
O00227,M0214,2,38.36
O00228,M0159,3,19.41
O00228,M0319,3,20.52
O00228,M0200,3,23.77
O00229,M0309,3,32.78
O00230,M0097,1,31.65
O00230,M0057,3,15.22
O00230,M0376,1,30.09
O00230,M0129,1,27.75
O00231,M0040,2,19.81
O00231,M0173,1,23.12
O00231,M0252,3,17.91
O00232,M0387,2,30.63
O00233,M0237,2,6.24
O00233,M0033,3,26.51
O00233,M0155,3,5.3
O00233,M0382,1,35.12
O00234,M0318,3,11.92
O00235,M0372,3,12.66
O00235,M0009,2,24.32
O00235,M0378,1,16.33
O00235,M0244,1,22.57
O00236,M0381,2,8.88
O00237,M0008,1,13.54
O00237,M0148,1,33.21
O00237,M0385,2,16.78
O00237,M0310,1,5.42
O00238,M0363,1,36.99
O00239,M0024,2,8.99
O00240,M0123,1,21.09
O00241,M0111,1,28.25
O00241,M0365,1,38.16
O00241,M0238,1,36.99
O00242,M0321,3,34.03
O00242,M0020,1,32.86
O00243,M0312,2,9.58
O00243,M0252,1,17.91
O00243,M0122,3,26.92
O00243,M0158,2,31.19
O00244,M0240,2,16.26
O00244,M0174,2,11.6
O00245,M0086,2,15.24
O00246,M0163,1,25.64
O00246,M0047,3,6.88
O00246,M0205,3,38.37
O00246,M0248,3,35.69
O00247,M0381,2,8.88
O00247,M0124,1,37.53
O00247,M0020,3,32.86
O00247,M0110,3,39.03
O00248,M0327,2,19.93
O00248,M0208,3,20.87
O00248,M0254,2,30.89
O00248,M0300,1,8.19
O00249,M0239,3,27.95
O00249,M0368,1,35.86
O00250,M0066,1,6.46
O00251,M0272,3,6.54
O00251,M0083,3,17.28
O00252,M0141,3,12.92
O00252,M0087,2,14.36
O00252,M0348,1,33.37
O00252,M0030,3,21.03
O00253,M0222,3,14.52
O00253,M0138,1,8.19
O00253,M0277,3,22.69
O00254,M0299,1,34.98
O00254,M0312,1,9.58
O00254,M0259,2,32.86
O00254,M0266,3,34.72
O00255,M0396,3,15.31
O00255,M0051,2,22.69
O00256,M0244,1,22.57
O00256,M0255,1,21.24
O00256,M0338,3,23.4
O00257,M0250,3,15.87
O00257,M0339,3,39.79
O00258,M0170,1,37.94
O00258,M0062,2,22.88
O00259,M0283,2,33.03
O00259,M0391,2,29.27
O00260,M0246,2,33.15
O00260,M0188,3,7.36
O00260,M0116,1,16.3
O00261,M0029,3,17.18
O00261,M0261,3,5.84
O00261,M0340,1,32.82
O00262,M0202,3,34.21
O00262,M0067,2,20.45
O00262,M0305,2,38.32
O00262,M0234,2,6.61
O00263,M0379,2,10.17
O00263,M0096,3,16.27
O00264,M0314,2,27.06
O00264,M0168,1,26.03
O00264,M0133,3,18.01
O00265,M0028,3,18.74
O00265,M0328,3,12.52
O00265,M0388,3,32.71
O00265,M0055,3,7.89
O00266,M0275,2,18.04
O00266,M0063,2,9.0
O00266,M0347,3,12.67
O00266,M0062,3,22.88
O00267,M0127,2,12.08
O00267,M0350,1,23.53
O00267,M0369,2,23.97
O00268,M0361,3,25.74
O00269,M0202,2,34.21
O00269,M0095,1,13.74
O00269,M0047,2,6.88
O00270,M0128,3,36.83
O00271,M0322,1,9.29
O00271,M0128,2,36.83
O00271,M0188,1,7.36
O00272,M0172,3,35.65
O00272,M0070,1,31.3
O00272,M0350,2,23.53
O00272,M0005,3,34.72
O00273,M0257,2,32.16
O00273,M0305,1,38.32
O00273,M0052,3,19.32
O00274,M0324,3,25.09
O00274,M0026,2,38.81
O00275,M0260,3,5.22
O00275,M0129,1,27.75
O00275,M0374,2,37.13
O00275,M0365,2,38.16
O00276,M0292,3,38.76
O00276,M0071,2,35.62
O00277,M0277,2,22.69
O00278,M0339,2,39.79
O00278,M0155,3,5.3
O00279,M0183,1,18.54
O00279,M0367,2,34.28
O00279,M0236,1,11.26
O00280,M0354,2,14.33
O00280,M0213,3,5.4
O00281,M0191,2,18.93
O00281,M0326,2,6.03
O00281,M0076,3,12.35
O00282,M0036,1,9.09
O00282,M0340,3,32.82
O00282,M0294,1,14.28
O00283,M0345,3,18.59
O00283,M0362,3,30.83
O00283,M0198,3,22.9
O00284,M0098,3,18.74
O00284,M0341,2,32.37
O00284,M0070,1,31.3
O00284,M0095,3,13.74
O00285,M0197,1,7.93
O00285,M0053,2,19.55
O00286,M0068,3,39.64
O00286,M0357,3,25.15
O00286,M0281,1,13.29
O00286,M0214,3,38.36
O00287,M0237,1,6.24
O00287,M0205,1,38.37
O00288,M0202,3,34.21
O00288,M0100,3,26.97
O00288,M0047,3,6.88
O00288,M0288,1,25.46
O00289,M0013,2,27.42
O00289,M0036,1,9.09
O00290,M0014,2,18.85
O00291,M0395,2,15.74
O00291,M0137,2,13.2
O00292,M0036,2,9.09
O00292,M0226,3,6.94
O00292,M0204,2,29.45
O00292,M0397,1,30.51
O00293,M0120,1,36.3
O00293,M0278,2,33.7
O00293,M0031,1,33.48
O00294,M0099,3,25.21
O00294,M0187,3,7.55
O00294,M0210,3,30.96
O00295,M0392,3,26.48
O00295,M0200,3,23.77
O00296,M0102,2,32.81
O00297,M0373,2,21.73
O00297,M0244,2,22.57
O00297,M0251,3,24.36
O00298,M0364,1,29.62
O00298,M0389,3,27.72
O00298,M0066,2,6.46
O00299,M0009,2,24.32
O00299,M0037,1,29.27
O00300,M0134,2,27.71
O00301,M0318,3,11.92
O00301,M0073,2,35.18
O00302,M0336,2,9.8
O00303,M0238,1,36.99
O00303,M0244,3,22.57
O00304,M0116,1,16.3
O00304,M0348,1,33.37
O00305,M0318,2,11.92
O00306,M0126,3,39.71
O00306,M0139,2,5.04
O00306,M0163,2,25.64
O00306,M0089,3,28.78
O00307,M0035,2,9.13
O00307,M0396,2,15.31
O00308,M0376,1,30.09
O00308,M0219,2,30.65
O00309,M0093,2,35.35
O00309,M0239,1,27.95
O00310,M0244,2,22.57
O00311,M0082,2,33.19
O00312,M0077,1,25.58
O00313,M0361,3,25.74
O00313,M0156,2,10.74
O00313,M0364,3,29.62
O00313,M0153,2,39.75
O00314,M0385,1,16.78
O00314,M0379,1,10.17
O00314,M0251,3,24.36
O00315,M0293,1,20.82
O00315,M0276,2,7.97
O00315,M0034,1,28.52
O00315,M0347,2,12.67
O00316,M0155,3,5.3
O00316,M0035,3,9.13
O00317,M0280,3,20.22
O00317,M0011,3,13.11
O00318,M0369,3,23.97
O00318,M0004,2,29.88
O00318,M0288,2,25.46
O00318,M0267,1,15.76
O00319,M0386,3,9.78
O00319,M0311,1,32.33
O00319,M0250,2,15.87
O00319,M0391,2,29.27
O00320,M0154,3,7.39
O00320,M0392,3,26.48
O00320,M0148,1,33.21
O00320,M0006,3,8.83
O00321,M0071,1,35.62
O00321,M0399,1,34.78
O00322,M0105,3,37.77
O00323,M0017,3,18.61
O00324,M0163,3,25.64
O00324,M0170,2,37.94
O00325,M0309,3,32.78
O00325,M0399,3,34.78
O00326,M0007,3,10.75
O00326,M0244,2,22.57
O00326,M0349,3,7.05
O00326,M0308,3,21.17
O00327,M0115,1,12.41
O00327,M0182,1,37.69
O00327,M0047,1,6.88
O00328,M0008,3,13.54
O00328,M0133,3,18.01
O00328,M0094,3,29.55
O00329,M0269,3,19.69
O00329,M0100,3,26.97
O00329,M0305,2,38.32
O00329,M0157,1,30.29
O00330,M0196,1,26.56
O00330,M0123,3,21.09
O00330,M0323,2,6.77
O00331,M0283,3,33.03
O00331,M0013,3,27.42
O00332,M0125,1,20.45
O00332,M0165,1,16.01
O00332,M0247,2,38.39
O00333,M0245,3,6.84
O00333,M0045,2,9.91
O00333,M0021,1,8.56
O00334,M0400,2,38.78
O00334,M0329,3,14.62
O00334,M0007,1,10.75
O00334,M0107,2,16.46
O00335,M0085,1,16.33
O00335,M0018,1,12.52
O00335,M0076,2,12.35
O00335,M0017,1,18.61
O00336,M0110,1,39.03
O00336,M0101,2,20.82
O00337,M0302,2,22.97
O00337,M0136,1,30.41
O00338,M0007,3,10.75
O00338,M0303,3,15.46
O00339,M0398,3,38.2
O00339,M0359,1,34.37
O00340,M0162,1,9.9
O00340,M0343,2,21.96
O00340,M0251,1,24.36
O00340,M0274,2,19.46
O00341,M0345,1,18.59
O00341,M0019,2,31.33
O00341,M0142,2,20.58
O00341,M0351,3,25.44
O00342,M0249,3,14.88
O00343,M0200,3,23.77
O00343,M0062,1,22.88
O00343,M0018,3,12.52
O00344,M0205,1,38.37
O00344,M0226,1,6.94
O00345,M0292,1,38.76
O00345,M0176,1,32.43
O00345,M0068,1,39.64
O00345,M0025,1,35.19
O00346,M0274,1,19.46
O00346,M0158,3,31.19
O00346,M0040,1,19.81
O00347,M0170,2,37.94
O00348,M0370,1,22.17
O00348,M0215,1,23.1
O00349,M0382,1,35.12
O00349,M0213,2,5.4
O00349,M0035,1,9.13
O00349,M0003,1,15.51
O00350,M0148,1,33.21
O00351,M0068,2,39.64
O00351,M0369,2,23.97
O00352,M0338,1,23.4
O00352,M0349,1,7.05
O00353,M0128,2,36.83
O00353,M0322,3,9.29
O00354,M0014,3,18.85
O00354,M0015,2,26.49
O00354,M0336,2,9.8
O00354,M0304,2,39.67
O00355,M0304,3,39.67
O00355,M0151,3,32.07
O00355,M0094,1,29.55
O00355,M0339,1,39.79
O00356,M0261,1,5.84
O00356,M0076,1,12.35
O00356,M0064,2,24.01
O00356,M0178,3,18.51
O00357,M0279,2,25.72
O00357,M0053,3,19.55
O00357,M0313,2,19.02
O00357,M0196,1,26.56
O00358,M0159,1,19.41
O00358,M0393,1,12.81
O00358,M0034,2,28.52
O00358,M0331,3,26.49
O00359,M0035,1,9.13
O00360,M0262,1,17.12
O00360,M0124,1,37.53
O00361,M0366,1,9.97
O00361,M0245,2,6.84
O00361,M0143,3,29.35
O00361,M0357,1,25.15
O00362,M0361,2,25.74
O00362,M0224,1,26.96
O00362,M0213,2,5.4
O00363,M0059,3,10.89
O00363,M0086,3,15.24
O00364,M0134,2,27.71
O00364,M0271,3,29.91
O00365,M0348,1,33.37
O00365,M0151,1,32.07
O00366,M0161,3,8.03
O00366,M0187,3,7.55
O00366,M0003,1,15.51
O00367,M0213,2,5.4
O00367,M0379,2,10.17
O00368,M0327,3,19.93
O00368,M0227,2,24.84
O00368,M0168,3,26.03
O00368,M0307,1,24.25
O00369,M0102,2,32.81
O00369,M0165,3,16.01
O00369,M0013,1,27.42
O00370,M0261,2,5.84
O00370,M0328,1,12.52
O00370,M0081,1,12.23
O00370,M0048,3,38.31
O00371,M0194,1,29.56
O00371,M0018,3,12.52
O00371,M0131,2,14.59
O00371,M0350,3,23.53
O00372,M0200,3,23.77
O00372,M0050,1,18.44
O00373,M0084,3,25.89
O00374,M0302,2,22.97
O00375,M0310,1,5.42
O00375,M0045,2,9.91
O00376,M0007,3,10.75
O00376,M0069,1,30.76
O00376,M0230,2,28.59
O00377,M0235,1,18.4
O00377,M0373,1,21.73
O00377,M0260,1,5.22
O00377,M0090,1,9.75
O00378,M0210,1,30.96
O00378,M0396,3,15.31
O00378,M0252,2,17.91
O00378,M0094,2,29.55
O00379,M0146,1,21.72
O00380,M0200,3,23.77
O00381,M0336,1,9.8
O00381,M0027,1,25.89
O00381,M0095,1,13.74
O00382,M0004,2,29.88
O00382,M0162,3,9.9
O00382,M0184,2,24.89
O00383,M0347,2,12.67
O00384,M0214,3,38.36
O00385,M0141,2,12.92
O00385,M0086,3,15.24
O00386,M0162,2,9.9
O00386,M0336,2,9.8
O00387,M0161,1,8.03
O00388,M0399,2,34.78
O00388,M0297,3,29.66
O00388,M0106,1,20.91
O00389,M0200,3,23.77
O00390,M0261,3,5.84
O00390,M0113,1,23.7
O00390,M0148,3,33.21
O00390,M0291,3,9.23
O00391,M0267,2,15.76
O00391,M0108,2,35.41
O00392,M0304,1,39.67
O00392,M0349,2,7.05
O00392,M0104,1,31.24
O00392,M0064,2,24.01
O00393,M0332,3,13.6
O00393,M0041,1,27.24
O00393,M0327,3,19.93
O00393,M0009,1,24.32
O00394,M0118,2,9.57
O00394,M0400,1,38.78
O00394,M0115,2,12.41
O00395,M0042,1,37.17
O00395,M0335,3,8.07
O00396,M0056,2,32.86
O00396,M0048,1,38.31
O00397,M0277,1,22.69
O00397,M0228,3,10.51
O00397,M0106,2,20.91
O00398,M0271,2,29.91
